iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:ActOfAccounting	act-genus	9			Act of Accounting	cco:ont00000366		An Act of Information Processing in which an Agent records, classifies, posts, or reconciles financial transactions and produces or updates a Descriptive Inform
ex:ActOfAcquisition	act-genus	10			Act of Acquisition	cco:ont00000228		A Planned Act in which an Agent obtains from some authority or supplier an entity (such as an authorization, license, or resource) that the Agent did not previo
ex:ActOfAdministration	act-genus	7			Act of Administration	cco:ont00000228	req-cap:ex:HumanResourcesInformationSystemCapability,ex:TimeAndAttendanceManagementCapability	A Planned Act in which an Agent carries out, enforces, delivers, coordinates, and maintains an already-established arrangement (such as a policy, program, plan,
ex:ActOfAdvocacy	act-genus	12			Act of Advocacy	cco:ont00001327;cco:ont00000228		A Social Act in which an Agent promotes, encourages, or supports a cause, position, or change in the societal or political environment through campaigns, progra
ex:ActOfAnalysis	act-genus	10			Act of Analysis	cco:ont00000366		An Act of Information Processing in which an Agent examines one or more input Information Content Entities and produces an Information Content Entity that repre
ex:ActOfCardAdministration	act-genus	9			Act of Card Administration	cco:ont00000228		A Planned Act in which an Agent issues, handles, processes a request for, or deactivates a payment card on behalf of an Organization, thereby establishing or al
ex:ActOfCommunication	act-genus	8			Act of Communication (shared anchor)	cco:ont00000402;cco:ont00000228		A Planned Act in which an Agent transfers one or more Information Content Entities to one or more other Agents.
ex:ActOfDataManagement	act-genus	2			Act of Data Management	cco:ont00000366		An Act of Information Processing in which an Agent stores, controls, updates, maintains, or governs access to a body of Information Content Entities so as to ke
ex:ActOfDeployment	act-genus	8			Act of Deployment	cco:ont00000228		A Planned Act in which an Agent installs, configures, distributes, or otherwise makes operationally available an IT component, software release, or solution wit
ex:ActOfDesign	act-genus	2			Act of Design	cco:ont00000511		An Act of Planning in which an Agent devises and specifies the form, structure, and behavior of a prospective product, service, solution, process, or architectu
ex:ActOfDevelopment	act-genus	2			Act of Development	cco:ont00000228		A Planned Act in which an Agent brings a novel product, service, solution, technology, component, prototype, or process from a specification or concept into an 
ex:ActOfDisposition	act-genus	10			Act of Disposition	cco:ont00000228		A Planned Act in which an Agent removes an asset or portion of material from active service, ownership, or possession at its end-of-life by retiring, selling, d
ex:ActOfFinancialTransaction	act-genus	9			Act of Financial Transaction	cco:ont00000836;cco:ont00000228		A Planned Act in which an Agent transfers or uses money or a Financial Instrument to or from another Agent in settlement of an obligation, an investment, or an 
ex:ActOfForecasting	act-genus	10			Act of Forecasting	cco:ont00000371;cco:ont00000228		An Act of Prediction in which an Agent examines present information about an entity and generates a Predictive Information Content Entity that describes an unce
ex:ActOfFormulation	act-genus	10			Act of Formulation	cco:ont00000511		An Act of Planning in which an Agent composes and articulates a Directive Information Content Entity - such as a mission, strategy, objective, design, roadmap, 
ex:ActOfIdentification	act-genus	10			Act of Identification (discernment sense)	cco:ont00000366		An Act of Information Processing in which an Agent discerns and enumerates entities of a given kind and produces an Information Content Entity that registers th
ex:ActOfImplementation	act-genus	13			Act of Implementation	cco:ont00000228		A Planned Act in which an Agent executes, deploys, or puts into operation a previously specified plan, program, methodology, or system so as to bring about the 
ex:ActOfImprovement	act-genus	13			Act of Improvement	cco:ont00000228		A Planned Act in which an Agent modifies an existing process, system, or capability with the intent of raising its performance, quality, or fitness against stat
